isoDate,stressLevel,beatsPerMinute
2023-01-01T00:00:00+0000,5,68
2023-01-01T01:00:00+0000,4,76
2023-01-01T02:00:00+0000,8,98
2023-01-01T03:00:00+0000,3,90
2023-01-01T04:00:00+0000,2,79
2023-01-01T05:00:00+0000,4,93
2023-01-01T06:00:00+0000,6,94
2023-01-01T07:00:00+0000,1,67
2023-01-01T08:00:00+0000,7,89
2023-01-01T09:00:00+0000,6,61
2023-01-01T10:00:00+0000,7,82
2023-01-01T11:00:00+0000,3,89
2023-01-01T12:00:00+0000,6,78
2023-01-01T13:00:00+0000,9,61
2023-01-01T14:00:00+0000,4,66
2023-01-01T15:00:00+0000,2,68
2023-01-01T16:00:00+0000,8,74
2023-01-01T17:00:00+0000,3,66
2023-01-01T18:00:00+0000,9,83
2023-01-01T19:00:00+0000,1,78
